"","Mittelwert","CI (unten)","CI (oben)","Name","Fraktion","Kommission"
"1805",1.5394177382557,1.01180523810743,2.05254993364349,"Feller Olivier","RL","WAK"
"1806",1.55858811149738,1.03447932898688,2.05373220220145,"Sauter Regine","RL","WAK"
"1807",1.58325375607513,1.06836810818313,2.07936431594961,"Borloz Fr\'ed\'eric","RL","WAK"
"1808",1.61170080099939,1.09387305074771,2.13426153180937,"Fiala Doris","RL","WAK"
"1809",1.69381594043193,1.03659195050906,2.33157795104998,"Grunder Hans","BD","WAK"
"1810",1.71765291626726,1.14444172709078,2.28796169891566,"Eymann Christoph","RL","WAK"
"1811",1.73374020299734,1.21183542909093,2.24403296659116,"G\""ossi Petra","RL","WAK"
"1812",1.75244862711631,1.24557838290102,2.23760832806901,"Schneeberger Daniela","RL","WAK"
"1813",1.87663404503783,1.26081870380757,2.47265553724541,"Fluri Kurt","RL","WAK"
"1814",2.1429823748222,1.49622922957073,2.78869140224264,"Cassis Ignazio","RL","WAK"
"1815",2.14752764239793,1.55655285969979,2.73757442474311,"Wasserfallen Christian","RL","WAK"
"1816",2.39242625748272,1.91720748406803,2.8733375759046,"Portmann Hans-Peter","RL","WAK"
"1817",2.40239933688329,1.919427495703,2.86622114917444,"Vitali Albert","RL","WAK"
"1818",2.63607497101278,2.17139908438564,3.10137933998104,"Dobler Marcel","RL","WAK"
"1819",2.67351335905428,2.18631407534168,3.14054763936202,"Pezzatti Bruno","RL","WAK"
"1820",2.77242249306312,2.3053425539262,3.21504228098509,"Hess Hermann","RL","WAK"
"1821",2.78098172193213,2.32468403803284,3.22858287878989,"Bauer Philippe","RL","WAK"
"1822",2.97904353155176,2.52794722118726,3.41963768782385,"Burkart Thierry","RL","WAK"
"1823",2.98600267615505,2.53265186480233,3.46240239920162,"M\""uller Walter","RL","WAK"
"1824",2.99549502997741,2.53643590416722,3.46958965210265,"Bigler Hans-Ulrich","RL","WAK"
"1825",3.43226417094833,-0.630925162440469,8.10492171497828,"Noser Ruedi","RL","WAK"
"1826",3.50258750038143,0.355036661858367,7.4370845740726,"Parmelin Guy","V","WAK"
"1827",4.24891439851,3.65750292705006,4.8663980232299,"Nantermod Philippe","RL","WAK"
"1828",6.83267584560704,4.02240627686236,10.4274047545087,"Gutjahr Diana","V","WAK"
"1829",7.32826477129398,6.63178348339292,8.09634490033109,"Pantani Roberta","V","WAK"
"1830",7.52285548781431,6.78043654830253,8.32811080459093,"Quadri Lorenzo","V","WAK"
"1831",7.61179962127054,6.84101510239175,8.46959613072293,"Chiesa Marco","V","WAK"
"1832",7.8105470387861,6.98971380017942,8.7178204097326,"Aebi Andreas","V","WAK"
"1833",7.85010928697667,7.03617034969239,8.75837816063547,"Golay Roger","V","WAK"
"1834",7.88718312589014,6.74193457330414,9.15563102954857,"Rime Jean-Fran\c cois","V","WAK"
"1835",8.03930313437369,7.21707612858596,8.98938708655114,"Page Pierre-Andr\'e","V","WAK"
"1836",8.21300918065144,7.30189471824274,9.21378824051515,"Grin Jean-Pierre","V","WAK"
"1837",8.23540749052264,7.28413653718028,9.33677041480201,"Walter Hansj\""org","V","WAK"
"1838",8.3551550890534,7.36101643248311,9.50077500643187,"von Siebenthal Erich","V","WAK"
"1839",8.43419008703944,7.44935527586313,9.5528574101323,"M\""uller Thomas","V","WAK"
"1840",8.54418079619723,7.58606670438457,9.62722541828767,"Hurter Thomas","V","WAK"
"1841",8.66542929981586,7.67053727955441,9.82775285929101,"B\""uchel Roland Rino","V","WAK"
"1842",8.68358442090378,8.17984890890546,9.2004758608431,"Aeschi Thomas","V","WAK"
"1843",8.71156296922447,7.71094801163792,9.8318377199987,"Addor Jean-Luc","V","WAK"
"1844",8.83262270962168,7.78416784493047,10.0514253397618,"Brand Heinz","V","WAK"
"1845",8.85576535299416,7.80327030934926,10.0725262706222,"Nicolet Jacques","V","WAK"
"1846",8.87434560604331,7.75414236687937,10.1798172334354,"Ruppen Franz","V","WAK"
"1847",8.89101055522539,7.80883477760522,10.1661975740744,"Amaudruz C\'eline","V","WAK"
"1848",9.00059702742031,7.89513571660635,10.2666921075871,"Glauser-Zufferey Alice","V","WAK"
"1849",9.10618790534454,7.31993582538618,11.3019820901205,"Stahl J\""urg","V","WAK"
"1850",9.38590848046179,8.11870196544979,10.9176948672985,"Walliser Bruno","V","WAK"
"1851",9.39742433392243,8.19332902734753,10.8229631319952,"Clottu Raymond","V","WAK"
"1852",9.4349026601745,8.16103611135818,10.8751913212433,"Heer Alfred","V","WAK"
"1853",9.63784639788827,8.37403059218172,11.1312724713112,"R\""osti Albert","V","WAK"
"1854",9.71421053615162,8.38044670207376,11.292998084576,"Giezendanner Ulrich","V","WAK"
"1855",9.757579384119,8.45613963053122,11.2972973430671,"Fl\""uckiger-B\""ani Sylvia","V","WAK"
"1856",9.77561115379813,8.43219141880095,11.4141486060439,"Arnold Beat","V","WAK"
"1857",9.79381798230608,8.31758287550211,11.5574125473134,"Hausammann Markus","V","WAK"
"1858",10.0533535496474,8.72485907459842,11.6531443191351,"Keller-Inhelder Barbara","V","WAK"
"1859",10.0614494380726,8.73939990090653,11.6140093806853,"M\""uri Felix","V","WAK"
"1860",10.1074187730104,8.60415831162783,11.9059433275559,"Reimann Maximilian","V","WAK"
"1861",10.2526305398967,8.77017305427152,11.9857732021923,"Egloff Hans","V","WAK"
"1862",10.267635252675,8.72804043482737,12.1006428775307,"Martullo-Blocher Magdalena","V","WAK"
"1863",10.3242604052548,8.78626944811313,12.1479509275567,"Salzmann Werner","V","WAK"
"1864",10.4261116835867,8.76832198497748,12.5316942046384,"Nidegger Yves","V","WAK"
"1865",10.4694313323233,8.98419203422635,12.2507654911864,"Amstutz Adrian","V","WAK"
"1866",10.5670790146372,8.84213243846362,12.748696079176,"Sollberger Sandra","V","WAK"
"1867",10.6255506462591,9.16445004047852,12.3808884467666,"Zuberb\""uhler David","V","WAK"
"1868",10.6683273357144,9.12663887438898,12.5098505725898,"Reimann Lukas","V","WAK"
"1869",10.7295981481486,9.20110436271065,12.5643121693345,"Frehner Sebastian","V","WAK"
"1870",10.8283602019679,9.22601418962252,12.7284827272143,"Gr\""uter Franz","V","WAK"
"1871",10.8757334188077,9.31025855763605,12.7064168279126,"Pieren Nadja","V","WAK"
"1872",10.8989143173377,9.32501431267401,12.7857429053127,"Knecht Hansj\""org","V","WAK"
"1873",10.9042877033488,9.25498198000592,12.8943817465541,"B\""uhler Manfred","V","WAK"
"1874",10.9373690567203,9.1356403237364,13.1740596835709,"Vogt Hans-Ueli","V","WAK"
"1875",11.0503983624089,9.44888255291492,13.0256482474136,"Dettling Marcel","V","WAK"
"1876",11.059626216607,9.40171434370081,12.98933755402,"Buffat Micha\""el","V","WAK"
"1877",11.1035776545293,9.22361865227598,13.3828548141252,"Matter Thomas","V","WAK"
"1878",11.1242179013775,9.24670685467661,13.3657064670031,"Geissb\""uhler Andrea Martina","V","WAK"
"1879",11.1649138571581,9.30771855173396,13.3691401386904,"Keller Peter","V","WAK"
"1880",11.200225102886,9.36984683080124,13.4448956574557,"Imark Christian","V","WAK"
"1881",11.2534488069131,9.50899007790099,13.349794690275,"Herzog Verena","V","WAK"
"1882",11.2566161143484,9.50996646952774,13.4102328988276,"Burgherr Thomas","V","WAK"
"1883",11.3211184762938,9.62317237808728,13.3210117604413,"Zanetti Claudio","V","WAK"
"1884",11.3954308740138,9.6016396686665,13.6236942448351,"Stamm Luzi","V","WAK"
"1885",11.5234396134466,9.73260016261013,13.6745931909159,"Wobmann Walter","V","WAK"
"1886",11.7255790569217,9.79321004942612,14.0130779578495,"Tuena Mauro","V","WAK"
"1887",11.7763055272503,9.95095056638311,13.9624982630048,"Rickli Natalie","V","WAK"
"1888",11.9711542926792,9.99688739628614,14.3031930940472,"de Courten Thomas","V","WAK"
"1889",12.0550291997143,9.6228344285386,15.0041345678711,"K\""oppel Roger","V","WAK"
"1890",12.1689858857237,10.214705158048,14.5012553556759,"Rutz Gregor","V","WAK"
"1891",12.1845926744822,10.300114695295,14.4659149444138,"Estermann Yvette","V","WAK"
"1892",12.2837991046227,10.2138255894635,14.7550886729766,"Glarner Andreas","V","WAK"
"1893",12.3040847773384,10.2969917364143,14.7149695371366,"Steinemann Barbara","V","WAK"
"1894",12.6625430632943,10.6121797759889,15.0832219015324,"Schwander Pirmin","V","WAK"
"1895",12.797956570153,10.5971224540183,15.5547694414212,"Brunner Toni","V","WAK"
"1896",12.8016611523404,10.6207624223457,15.3717379969565,"Hess Erich","V","WAK"
"1897",-11.5047072405821,-15.8168956869775,-8.1313144818634,"Schenker Silvia","S","WBK"
"1898",-11.4762404442127,-15.8425133663659,-8.1448763335825,"Barrile Angelo","S","WBK"
"1899",-11.3415362520855,-15.4590077259587,-7.98811989546581,"Gysi Barbara","S","WBK"
"1900",-11.2196932827917,-15.369458445869,-7.99808762603392,"Kiener Nellen Margret","S","WBK"
"1901",-11.1667606588069,-15.3411661830738,-7.9265941787235,"Feri Yvonne","S","WBK"
"1902",-11.1228963635564,-15.2193139102932,-7.93765209783209,"Naef Martin","S","WBK"
"1903",-11.1195442858375,-15.3149081833929,-7.87377158046121,"Graf-Litscher Edith","S","WBK"
"1904",-11.1128295012552,-15.2755518648257,-7.93180758994156,"Marti Min Li","S","WBK"
"1905",-11.0433784809984,-15.2149600183572,-7.91932825131154,"Munz Martina","S","WBK"
"1906",-11.0170564473343,-15.2276806507273,-7.78585874977756,"Gallad\'e Chantal","S","WBK"
"1907",-10.9791976400101,-15.1284896224428,-7.86007274484623,"Schwaab Jean Christophe","S","WBK"
"1908",-10.9443582614702,-14.8949056795519,-7.83318836531262,"Seiler Graf Priska","S","WBK"
"1909",-10.9408633628926,-15.2264230588165,-7.52719565551813,"Birrer-Heimo Prisca","S","WBK"
"1910",-10.9030027065142,-14.8645504892246,-7.83153147543821,"Piller Carrard Val\'erie","S","WBK"
"1911",-10.7944229498251,-15.037642969435,-7.36466226264463,"Hardegger Thomas","S","WBK"
"1912",-10.7827181917342,-14.7557838114027,-7.7184059319431,"Masshardt Nadine","S","WBK"
"1913",-10.739565192545,-14.6074959050941,-7.64730230091828,"Allemann Evi","S","WBK"
"1914",-10.7246456751184,-14.7197794301714,-7.70879403843783,"Sommaruga Carlo","S","WBK"
"1915",-10.7240701196593,-14.6785877657774,-7.57506382806529,"Carobbio Guscetti Marina","S","WBK"
"1916",-10.7122771627348,-14.6460065182719,-7.62200134764837,"Jans Beat","S","WBK"
"1917",-10.691078062321,-14.7685612464273,-7.53401462663509,"Badran Jacqueline","S","WBK"
"1918",-10.6843560149848,-14.5791389617938,-7.67486137739698,"Friedl Claudia","S","WBK"
"1919",-10.6823700003118,-14.6679459837653,-7.59526098394849,"Maire Jacques-Andr\'e","S","WBK"
"1920",-10.677544258628,-14.4550152477136,-7.6660224075077,"Tsch\""app\""at Alexander","S","WBK"
"1921",-10.6589025910775,-14.8368987278142,-7.31853298165068,"Fridez Pierre-Alain","S","WBK"
"1922",-10.4607465743342,-14.1360711845953,-7.52476375399362,"Semadeni Silva","S","WBK"
"1923",-10.4574132863922,-14.2564516403848,-7.55768511284897,"Hadorn Philipp","S","WBK"
"1924",-10.4223814599259,-14.206639255105,-7.46266149846691,"de la Reussille Denis","G","WBK"
"1925",-10.3881365395454,-13.9649445064916,-7.43749301052592,"Mazzone Lisa","G","WBK"
"1926",-10.3830548501717,-14.068983007462,-7.44411328256831,"Marra Ada","S","WBK"
"1927",-10.3673451636146,-14.0032624093731,-7.48822717506757,"Reynard Mathias","S","WBK"
"1928",-10.3448535554309,-14.7909851293323,-7.0293989485432,"Amarelle Cesla","S","WBK"
"1929",-10.3286860540417,-14.3468244646778,-7.15921944891106,"Guldimann Tim","S","WBK"
"1930",-10.2305156496357,-13.897253388186,-7.34042448804611,"Nussbaumer Eric","S","WBK"
"1931",-10.1183654859521,-13.8227602636968,-7.24150570432532,"Meyer Mattea","S","WBK"
"1932",-9.95349746033732,-13.6434622326203,-7.03089888093317,"Wermuth C\'edric","S","WBK"
"1933",-9.92211668184786,-13.4475348090445,-7.00076908660114,"Ruiz Rebecca Ana","S","WBK"
"1934",-9.88749637800244,-13.3187951166415,-7.24470208871533,"Tornare Manuel","S","WBK"
"1935",-9.78990342800857,-13.2284593011202,-7.13562772991288,"Heim Bea","S","WBK"
